Election,Department,Year,Candidate Name,Party,First Round Total Votes,1st Round Percentage of votes,2nd Round Total Votes,2nd Round Percentage of votes,,
LEGISLATIVE ELECTION,BARADERES-GRAND BOUCAN,AUGUST AND OCTOBER 2015,Patrick Norzeus,Fanmi L,957,16.2,"3,734",48.4,,
LEGISLATIVE ELECTION,BARADERES-GRAND BOUCAN,AUGUST AND OCTOBER 2015,Loraine Besson Casimir,OPL,852,14.4,,,,
LEGISLATIVE ELECTION,BARADERES-GRAND BOUCAN,AUGUST AND OCTOBER 2015,Lawens Delvois,KID,837,14.1,,,,
LEGISLATIVE ELECTION,BARADERES-GRAND BOUCAN,AUGUST AND OCTOBER 2015,Wester Exy,Verite,542,9.2,,,,
LEGISLATIVE ELECTION,BARADERES-GRAND BOUCAN,AUGUST AND OCTOBER 2015,Robert Jean Charles,Pont,449,7.6,,,,
LEGISLATIVE ELECTION,BARADERES-GRAND BOUCAN,AUGUST AND OCTOBER 2015,Lominy Bredy,MAS,444,7.5,,,,
LEGISLATIVE ELECTION,BARADERES-GRAND BOUCAN,AUGUST AND OCTOBER 2015,3 other,,,,,,,
LEGISLATIVE ELECTION,BARADERES-GRAND BOUCAN,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,FONDS DES NEGRES,AUGUST AND OCTOBER 2015,IVERNO GUERRIER,MAS,"1,363",15.9,"6,310",62.9,,
LEGISLATIVE ELECTION,FONDS DES NEGRES,AUGUST AND OCTOBER 2015,Poly Faustin,Fanmi L,"1,339",15.6,"3,653",36.4,,
LEGISLATIVE ELECTION,FONDS DES NEGRES,AUGUST AND OCTOBER 2015,Wilfrid Tropnas,UNCHR,"1,103",12.8,,,,
LEGISLATIVE ELECTION,FONDS DES NEGRES,AUGUST AND OCTOBER 2015,Boson Ramilus,Renmen Ayiti,765,8.9,,,,
LEGISLATIVE ELECTION,FONDS DES NEGRES,AUGUST AND OCTOBER 2015,Yvenel Detournel,MNO,628,7.3,,,,
LEGISLATIVE ELECTION,FONDS DES NEGRES,AUGUST AND OCTOBER 2015,Pierre Marie Bazile,PPRA,622,7.2,,,,
LEGISLATIVE ELECTION,FONDS DES NEGRES,AUGUST AND OCTOBER 2015,Joseph Gaspard,Mopod,578,6.7,,,,
LEGISLATIVE ELECTION,FONDS DES NEGRES,AUGUST AND OCTOBER 2015,Jadothe Laurent,OPL,511,6,,,,
LEGISLATIVE ELECTION,FONDS DES NEGRES,AUGUST AND OCTOBER 2015,Alize Estilus,Verite,497,5.8,,,,
LEGISLATIVE ELECTION,FONDS DES NEGRES,AUGUST AND OCTOBER 2015,4 others,,,,,,,
LEGISLATIVE ELECTION,FONDS DES NEGRES,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,L'ASILE,AUGUST AND OCTOBER 2015,LEMANN PREMIER,Fusion,"1,943",24.1,"4,841",56.5,,
LEGISLATIVE ELECTION,L'ASILE,AUGUST AND OCTOBER 2015,Frantz Delia,UNCRH,"1,552",19.3,"3,708",43.3,,
LEGISLATIVE ELECTION,L'ASILE,AUGUST AND OCTOBER 2015,Jean Damas Francis,AAA,"1,275",15.8,,,,
LEGISLATIVE ELECTION,L'ASILE,AUGUST AND OCTOBER 2015,Maxo Celestin,Kontrapepla,"1,095",13.6,,,,
LEGISLATIVE ELECTION,L'ASILE,AUGUST AND OCTOBER 2015,Frantz Toyo,Pont,772,9.6,,,,
LEGISLATIVE ELECTION,L'ASILE,AUGUST AND OCTOBER 2015,10 others,,,,,,,
LEGISLATIVE ELECTION,L'ASILE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,MIRAGOANE,AUGUST AND OCTOBER 2015,YVON GESTE,PHTK,"3,596",30.1,"9,884",66.1,,
LEGISLATIVE ELECTION,MIRAGOANE,AUGUST AND OCTOBER 2015,Mikerlange Pierre,KID,"1,372",11.5,"4,921",32.9,,
LEGISLATIVE ELECTION,MIRAGOANE,AUGUST AND OCTOBER 2015,Ulfred Louima,Fanmi L,"1,256",10.5,,,,
LEGISLATIVE ELECTION,MIRAGOANE,AUGUST AND OCTOBER 2015,Colin Joachim,Pont,"1,149",9.6,,,,
LEGISLATIVE ELECTION,MIRAGOANE,AUGUST AND OCTOBER 2015,Jean-Joseph Louis,OPL,893,7.5,,,,
LEGISLATIVE ELECTION,MIRAGOANE,AUGUST AND OCTOBER 2015,Washington Compere,Rapwoche,793,6.6,,,,
LEGISLATIVE ELECTION,MIRAGOANE,AUGUST AND OCTOBER 2015,Bernard Cadet,LAPEH,707,5.9,,,,
LEGISLATIVE ELECTION,MIRAGOANE,AUGUST AND OCTOBER 2015,Jean-Baptiste Mathurin,Pitit Dess,669,5.6,,,,
LEGISLATIVE ELECTION,MIRAGOANE,AUGUST AND OCTOBER 2015,5 others,,,,,,,
LEGISLATIVE ELECTION,MIRAGOANE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,PETIT TROU DE NIPPES-PLAISANCE DU SUD,AUGUST AND OCTOBER 2015,CLAUDE LUC GUILLAUME,Renmen Ayiti,"3,426",37.5,"6,250",56.2,,
LEGISLATIVE ELECTION,PETIT TROU DE NIPPES-PLAISANCE DU SUD,AUGUST AND OCTOBER 2015,Lubern Pierre,PHTK,"2,899",31.7,"4,804",43.2,,
LEGISLATIVE ELECTION,PETIT TROU DE NIPPES-PLAISANCE DU SUD,AUGUST AND OCTOBER 2015,Liphete Jean-Marie,Pont,"1,086",11.9,,,,
LEGISLATIVE ELECTION,PETIT TROU DE NIPPES-PLAISANCE DU SUD,AUGUST AND OCTOBER 2015,Jean-Brunel Rosena,Verite,838,9.2,,,,
LEGISLATIVE ELECTION,PETIT TROU DE NIPPES-PLAISANCE DU SUD,AUGUST AND OCTOBER 2015,Dieuseul Durocher,Platfom P,669,7.3,,,,
LEGISLATIVE ELECTION,PETIT TROU DE NIPPES-PLAISANCE DU SUD,AUGUST AND OCTOBER 2015,2 others,,,,,,,
LEGISLATIVE ELECTION,PETIT TROU DE NIPPES-PLAISANCE DU SUD,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,PETITE RIVIERE DE NIPPES-PAILLANT,AUGUST AND OCTOBER 2015,Edouard Laurore,Verite,"2,498",27,"6,092",49.2,,
LEGISLATIVE ELECTION,PETITE RIVIERE DE NIPPES-PAILLANT,AUGUST AND OCTOBER 2015,SMITH MATHURIN,Fanmi L,"1,671",18,"6,182",50,,
LEGISLATIVE ELECTION,PETITE RIVIERE DE NIPPES-PAILLANT,AUGUST AND OCTOBER 2015,Jules Andre Sterling,Pitit Dess,"1,262",13.6,,,,
LEGISLATIVE ELECTION,PETITE RIVIERE DE NIPPES-PAILLANT,AUGUST AND OCTOBER 2015,Arnold Laguerre,AAA,"1,214",13.1,,,,
LEGISLATIVE ELECTION,PETITE RIVIERE DE NIPPES-PAILLANT,AUGUST AND OCTOBER 2015,Ulrick Filocsaint,PHTK,"1,196",12.9,,,,
LEGISLATIVE ELECTION,PETITE RIVIERE DE NIPPES-PAILLANT,AUGUST AND OCTOBER 2015,Capiteau Leconte,Fusion,494,5.3,,,,
LEGISLATIVE ELECTION,PETITE RIVIERE DE NIPPES-PAILLANT,AUGUST AND OCTOBER 2015,4 others,,,,,,,
LEGISLATIVE ELECTION,PETITE RIVIERE DE NIPPES-PAILLANT,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,DEPARTMENT OF NORD,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,DEPARTMENT OF NORD,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,ACUL DU NORD,AUGUST AND OCTOBER 2015,Henry J H Milfort,Verite,"2,136",15.6,,,,
LEGISLATIVE ELECTION,ACUL DU NORD,AUGUST AND OCTOBER 2015,Rodney Charles,Pitit Dess,"1,852",13.5,,,,
LEGISLATIVE ELECTION,ACUL DU NORD,AUGUST AND OCTOBER 2015,Jobes Jolicaire Michel,PJTK,"1,833",13.4,,,,
LEGISLATIVE ELECTION,ACUL DU NORD,AUGUST AND OCTOBER 2015,Lorius Jean Verne,PNCH,"1,727",12.6,,,,
LEGISLATIVE ELECTION,ACUL DU NORD,AUGUST AND OCTOBER 2015,Bendjy Floreal,Bouclier,"1,658",12.1,,,,
LEGISLATIVE ELECTION,ACUL DU NORD,AUGUST AND OCTOBER 2015,Pedro Milord,Pont,"1,036",7.6,,,,
LEGISLATIVE ELECTION,ACUL DU NORD,AUGUST AND OCTOBER 2015,Pierre Hugo R Paul,Fusion,843,6.2,,,,
LEGISLATIVE ELECTION,ACUL DU NORD,AUGUST AND OCTOBER 2015,Dony Abraham,PLK,759,5.5,,,,
LEGISLATIVE ELECTION,ACUL DU NORD,AUGUST AND OCTOBER 2015,10 others,,,,,,,
LEGISLATIVE ELECTION,ACUL DU NORD,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,BORGNE,AUGUST AND OCTOBER 2015,JUDE FAUSTIN,PHTK,"2,782",41,"2,479",50.2,,
LEGISLATIVE ELECTION,BORGNE,AUGUST AND OCTOBER 2015,Gerard Saint-Jean,Verite,"2,304",33.9,"2,418",48.9,,
LEGISLATIVE ELECTION,BORGNE,AUGUST AND OCTOBER 2015,Reynald Janvier,Fusion,406,6,,,,
LEGISLATIVE ELECTION,BORGNE,AUGUST AND OCTOBER 2015,Delivrance S Charles,Respe,341,5,,,,
LEGISLATIVE ELECTION,BORGNE,AUGUST AND OCTOBER 2015,7 others,,,,,,,
LEGISLATIVE ELECTION,BORGNE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,CAP-HAITIEN,AUGUST AND OCTOBER 2015,JEAN ETIENNE,LAPEH,"3,817",18.7,"23,012",56.1,,
LEGISLATIVE ELECTION,CAP-HAITIEN,AUGUST AND OCTOBER 2015,Eddy Jean-Pierre,Fanmi L,"1,465",7.2,"17,291",42.2,,
LEGISLATIVE ELECTION,CAP-HAITIEN,AUGUST AND OCTOBER 2015,Rene Desir,PHTK,"1,114",5.5,,,,
LEGISLATIVE ELECTION,CAP-HAITIEN,AUGUST AND OCTOBER 2015,Rene Junior Joseph,Pitit Dess,"1,051",5.1,,,,
LEGISLATIVE ELECTION,CAP-HAITIEN,AUGUST AND OCTOBER 2015,32 others,,,,,,,
LEGISLATIVE ELECTION,CAP-HAITIEN,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,DONDON,AUGUST AND OCTOBER 2015,Hermogene Daniel,Fusion,"1,561",26.7,,,,
LEGISLATIVE ELECTION,DONDON,AUGUST AND OCTOBER 2015,Harrold Chery,PHTK,"1,221",20.9,,,,
LEGISLATIVE ELECTION,DONDON,AUGUST AND OCTOBER 2015,Jean Felix Celicourt,Respe,674,11.5,,,,
LEGISLATIVE ELECTION,DONDON,AUGUST AND OCTOBER 2015,Pierre Antoine Chery,Pitit Dess,544,9.3,,,,
LEGISLATIVE ELECTION,DONDON,AUGUST AND OCTOBER 2015,Ronald Celicourt,KID,468,8,,,,
LEGISLATIVE ELECTION,DONDON,AUGUST AND OCTOBER 2015,Hilaire Francois,OPL,443,7.6,,,,
LEGISLATIVE ELECTION,DONDON,AUGUST AND OCTOBER 2015,Pascal Saint-Fleur,Verite,331,5.7,,,,
LEGISLATIVE ELECTION,DONDON,AUGUST AND OCTOBER 2015,Ronald Toussaint,Verite,309,5.3,,,,
LEGISLATIVE ELECTION,DONDON,AUGUST AND OCTOBER 2015,4 others,,,,,,,
LEGISLATIVE ELECTION,DONDON,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,GRANDE RIVIERE DU NORD-BAHON,AUGUST AND OCTOBER 2015,Ocinjac Benjamin,PHTK,"2,401",40,,,,
LEGISLATIVE ELECTION,GRANDE RIVIERE DU NORD-BAHON,AUGUST AND OCTOBER 2015,Jacques Julmice,Verite,"2,318",38.6,,,,
LEGISLATIVE ELECTION,GRANDE RIVIERE DU NORD-BAHON,AUGUST AND OCTOBER 2015,Coulange Justafort,KP,726,12.1,,,,
LEGISLATIVE ELECTION,GRANDE RIVIERE DU NORD-BAHON,AUGUST AND OCTOBER 2015,9 others,,,,,,,
LEGISLATIVE ELECTION,GRANDE RIVIERE DU NORD-BAHON,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,LIMBE,AUGUST AND OCTOBER 2015,Frandy Louis,Verite,"5,611",36.4,"10,847",50.1,,
LEGISLATIVE ELECTION,LIMBE,AUGUST AND OCTOBER 2015,Joseph Firmin Jr Bruno,LAPEH,"2,461",16,"10,733",49.6,,
LEGISLATIVE ELECTION,LIMBE,AUGUST AND OCTOBER 2015,William Gédéon,Bouclier,"2,340",15.2,,,,
LEGISLATIVE ELECTION,LIMBE,AUGUST AND OCTOBER 2015,Jonguel Brinvert,PLK,"2,252",14.6,,,,
LEGISLATIVE ELECTION,LIMBE,AUGUST AND OCTOBER 2015,Parice Obas,Fanmi L,870,5.6,,,,
LEGISLATIVE ELECTION,LIMBE,AUGUST AND OCTOBER 2015,Wendell Francois,OPL,795,5.2,,,,
LEGISLATIVE ELECTION,LIMBE,AUGUST AND OCTOBER 2015,10 others,,,,,,,
LEGISLATIVE ELECTION,LIMBE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,LIMONADE,AUGUST AND OCTOBER 2015,TERTIUS TANIS,Kontrapepla,"2,714",34.5,"3,237",51.4,,
LEGISLATIVE ELECTION,LIMONADE,AUGUST AND OCTOBER 2015,Gluck Theophile,Verite,"2,037",25.9,"3,004",47.7,,
LEGISLATIVE ELECTION,LIMONADE,AUGUST AND OCTOBER 2015,Fanfan Etienne,Pitit Dess,985,12.5,,,,
LEGISLATIVE ELECTION,LIMONADE,AUGUST AND OCTOBER 2015,Yves Valcin,Mochrenha,885,11.2,,,,
LEGISLATIVE ELECTION,LIMONADE,AUGUST AND OCTOBER 2015,8 others,,,,,,,
LEGISLATIVE ELECTION,LIMONADE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,PIGNON-RANQUITTE-LA VICTOIRE,AUGUST AND OCTOBER 2015,Hidson Nelson,PHTK,"5,131",41.8,"8,285",46.1,,
LEGISLATIVE ELECTION,PIGNON-RANQUITTE-LA VICTOIRE,AUGUST AND OCTOBER 2015,PETER CASTIN CONSTANTIN,Verite,"4,468",36.4,"9,622",53.5,,
LEGISLATIVE ELECTION,PIGNON-RANQUITTE-LA VICTOIRE,AUGUST AND OCTOBER 2015,Djail Covsky Aimable,Bouclier,"2,083",17,,,,
LEGISLATIVE ELECTION,PIGNON-RANQUITTE-LA VICTOIRE,AUGUST AND OCTOBER 2015,4 others,,,,,,,
LEGISLATIVE ELECTION,PIGNON-RANQUITTE-LA VICTOIRE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,PILATE,AUGUST AND OCTOBER 2015,Worms Perilus,PHTK,"2,059",29.3,"4,038",45.5,,
LEGISLATIVE ELECTION,PILATE,AUGUST AND OCTOBER 2015,EXIL LUCIENNA,Bouclier,"1,724",24.5,"4,792",54,,
LEGISLATIVE ELECTION,PILATE,AUGUST AND OCTOBER 2015,Julia Delus,Fusion,663,9.4,,,,
LEGISLATIVE ELECTION,PILATE,AUGUST AND OCTOBER 2015,Wandy Ilfrene,AKAO,600,8.5,,,,
LEGISLATIVE ELECTION,PILATE,AUGUST AND OCTOBER 2015,Yvon Marcelin,Konfyans,415,5.9,,,,
LEGISLATIVE ELECTION,PILATE,AUGUST AND OCTOBER 2015,Francine Despeigne,Verite,375,5.3,,,,
LEGISLATIVE ELECTION,PILATE,AUGUST AND OCTOBER 2015,Cacsman Brutus,Pont,356,5.1,,,,
LEGISLATIVE ELECTION,PILATE,AUGUST AND OCTOBER 2015,7 others,,,,,,,
LEGISLATIVE ELECTION,PILATE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,PLAINE DU NORD-MILOT,AUGUST AND OCTOBER 2015,CLAUDE LESLY PIERRE,Bouclier,"2,538",22.3,"10,456",59.3,,
LEGISLATIVE ELECTION,PLAINE DU NORD-MILOT,AUGUST AND OCTOBER 2015,Modeline Joseph,Pitit Dess,"1,687",14.8,"6,885",39,,
LEGISLATIVE ELECTION,PLAINE DU NORD-MILOT,AUGUST AND OCTOBER 2015,Rony Pierre,Consortium,"1,574",13.8,,,,
LEGISLATIVE ELECTION,PLAINE DU NORD-MILOT,AUGUST AND OCTOBER 2015,Etienne Marie Pierre,PHTK,"1,488",13.1,,,,
LEGISLATIVE ELECTION,PLAINE DU NORD-MILOT,AUGUST AND OCTOBER 2015,Phanuel Odalbert,Pont,964,8.5,,,,
LEGISLATIVE ELECTION,PLAINE DU NORD-MILOT,AUGUST AND OCTOBER 2015,Jean Eddy Garçon,KID,773,6.8,,,,
LEGISLATIVE ELECTION,PLAINE DU NORD-MILOT,AUGUST AND OCTOBER 2015,9 others,,,,,,,
LEGISLATIVE ELECTION,PLAINE DU NORD-MILOT,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,PLAISANCE,AUGUST AND OCTOBER 2015,Renaud Jean Baptiste,PHTK,"3,632",33.5,,,,
LEGISLATIVE ELECTION,PLAISANCE,AUGUST AND OCTOBER 2015,Audne Alcide,Verite,"3,163",29.2,,,,
LEGISLATIVE ELECTION,PLAISANCE,AUGUST AND OCTOBER 2015,Brunel Jeune,Mochrenha,"1,884",17.4,,,,
LEGISLATIVE ELECTION,PLAISANCE,AUGUST AND OCTOBER 2015,Georges Eugene,Renmen Ayiti,"1,325",12.2,,,,
LEGISLATIVE ELECTION,PLAISANCE,AUGUST AND OCTOBER 2015,11 others,,,,,,,
LEGISLATIVE ELECTION,PLAISANCE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,PORT MARGOT,AUGUST AND OCTOBER 2015,Philome Hilaire Fanfan,PHTK,"2,614",26.3,,,,
LEGISLATIVE ELECTION,PORT MARGOT,AUGUST AND OCTOBER 2015,Tholeme S Joseph,Pitit Dess,"2,372",23.9,,,,
LEGISLATIVE ELECTION,PORT MARGOT,AUGUST AND OCTOBER 2015,Virgile Charnel Theogene,Bouclier,"1,632",16.4,,,,
LEGISLATIVE ELECTION,PORT MARGOT,AUGUST AND OCTOBER 2015,Tonguy Joseph Estimable,Fusion,"1,081",10.9,,,,
LEGISLATIVE ELECTION,PORT MARGOT,AUGUST AND OCTOBER 2015,Lemercier Eugene Paul,Pont,898,9,,,,
LEGISLATIVE ELECTION,PORT MARGOT,AUGUST AND OCTOBER 2015,12 others,,,,,,,
LEGISLATIVE ELECTION,PORT MARGOT,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,QUARTIER MORIN,AUGUST AND OCTOBER 2015,Hugue Celestin,PLK,"1,551",33.7,"2,324",49.4,,
LEGISLATIVE ELECTION,QUARTIER MORIN,AUGUST AND OCTOBER 2015,ESAIE PROPHETE,OPL,980,21.3,"2,334",49.6,,
LEGISLATIVE ELECTION,QUARTIER MORIN,AUGUST AND OCTOBER 2015,Doucet Eugene,Consortium,626,13.6,,,,
LEGISLATIVE ELECTION,QUARTIER MORIN,AUGUST AND OCTOBER 2015,Rose Carmelle Moncion,PHTK,529,11.5,,,,
LEGISLATIVE ELECTION,QUARTIER MORIN,AUGUST AND OCTOBER 2015,Wilnick Pierre,Pont,386,8.4,,,,
LEGISLATIVE ELECTION,QUARTIER MORIN,AUGUST AND OCTOBER 2015,4 others,,,,,,,
LEGISLATIVE ELECTION,QUARTIER MORIN,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,SAINT RAPHAEL,AUGUST AND OCTOBER 2015,Jean-Wilfrid Borgella,PHTK,"4,078",44.9,,,,
LEGISLATIVE ELECTION,SAINT RAPHAEL,AUGUST AND OCTOBER 2015,Bener Sissoir,Pitit Dess,"2,711",29.9,,,,
LEGISLATIVE ELECTION,SAINT RAPHAEL,AUGUST AND OCTOBER 2015,Odilon Lafrance,Verite,875,9.6,,,,
LEGISLATIVE ELECTION,SAINT RAPHAEL,AUGUST AND OCTOBER 2015,Martin Pierre,Renmen Ayiti,602,6.6,,,,
LEGISLATIVE ELECTION,SAINT RAPHAEL,AUGUST AND OCTOBER 2015,Achille Joseph,OPL,541,6,,,,
LEGISLATIVE ELECTION,SAINT RAPHAEL,AUGUST AND OCTOBER 2015,7 others,,,,,,,
LEGISLATIVE ELECTION,SAINT RAPHAEL,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,DEPARTMENT OF NORD EST,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,DEPARTMENT OF NORD EST,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,FERRIER-LES PERCHES,AUGUST AND OCTOBER 2015,GERALD JEAN,Verite,"2,610",36.5,"4,026",50.4,,
LEGISLATIVE ELECTION,FERRIER-LES PERCHES,AUGUST AND OCTOBER 2015,Elience Petit-FrÃ¨re,Fanmi L,"1,924",26.9,"3,943",49.4,,
LEGISLATIVE ELECTION,FERRIER-LES PERCHES,AUGUST AND OCTOBER 2015,Miguel Richard,Fusion,"1,195",16.7,,,,
LEGISLATIVE ELECTION,FERRIER-LES PERCHES,AUGUST AND OCTOBER 2015,Josenie Ferdinand Jean,PHTK,433,6.1,,,,
LEGISLATIVE ELECTION,FERRIER-LES PERCHES,AUGUST AND OCTOBER 2015,9 others,,,,,,,
LEGISLATIVE ELECTION,FERRIER-LES PERCHES,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,FORT-LIBERTE,AUGUST AND OCTOBER 2015,Miolin Charles-Pierre,Fanmi L,"2,420",22.8,"5,825",46.1,,
LEGISLATIVE ELECTION,FORT-LIBERTE,AUGUST AND OCTOBER 2015,JACQUELIN RUBES,KID,"1,659",15.6,"6,807",53.8,,
LEGISLATIVE ELECTION,FORT-LIBERTE,AUGUST AND OCTOBER 2015,David Pierre,KP,"1,286",12.1,,,,
LEGISLATIVE ELECTION,FORT-LIBERTE,AUGUST AND OCTOBER 2015,Phenol Lamothe,AAA,"1,031",9.7,,,,
LEGISLATIVE ELECTION,FORT-LIBERTE,AUGUST AND OCTOBER 2015,Rolin Benoit,Bouclier,"1,002",9.4,,,,
LEGISLATIVE ELECTION,FORT-LIBERTE,AUGUST AND OCTOBER 2015,Guiteau Pierre,PKN,600,5.7,,,,
LEGISLATIVE ELECTION,FORT-LIBERTE,AUGUST AND OCTOBER 2015,Louicius Brenord,Renmen Ayiti,590,5.6,,,,
LEGISLATIVE ELECTION,FORT-LIBERTE,AUGUST AND OCTOBER 2015,8 others,,,,,,,
LEGISLATIVE ELECTION,FORT-LIBERTE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,MOMBIN CROCHU,AUGUST AND OCTOBER 2015,Fils Aime Saint Fleur,Bouclier,"1,348",25.3,"2,010",32.4,,
LEGISLATIVE ELECTION,MOMBIN CROCHU,AUGUST AND OCTOBER 2015,MICHEL JACQUES ST LOUIS,PHTK,"1,300",24.4,"4,162",67.1,,
LEGISLATIVE ELECTION,MOMBIN CROCHU,AUGUST AND OCTOBER 2015,Luzette Codio,Respe,"1,184",22.2,,,,
LEGISLATIVE ELECTION,MOMBIN CROCHU,AUGUST AND OCTOBER 2015,Erick Accilus,Verite,"1,088",20.4,,,,
LEGISLATIVE ELECTION,MOMBIN CROCHU,AUGUST AND OCTOBER 2015,Phaustin Phanord,OPL,369,6.9,,,,
LEGISLATIVE ELECTION,MOMBIN CROCHU,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,MONT-ORGANISE-CAPOTILLE,AUGUST AND OCTOBER 2015,Willa Alphonse,PHTK,"3,092",30.4,"5,680",47.4,,
LEGISLATIVE ELECTION,MONT-ORGANISE-CAPOTILLE,AUGUST AND OCTOBER 2015,FRIST ADRIEN,KID,"2,893",28.5,"6,204",51.7,,
LEGISLATIVE ELECTION,MONT-ORGANISE-CAPOTILLE,AUGUST AND OCTOBER 2015,Clement Pierre,Verite,"2,749",27.1,,,,
LEGISLATIVE ELECTION,MONT-ORGANISE-CAPOTILLE,AUGUST AND OCTOBER 2015,Gelanes Alfred,KP,945,9.3,,,,
LEGISLATIVE ELECTION,MONT-ORGANISE-CAPOTILLE,AUGUST AND OCTOBER 2015,1 other,,,,,,,
LEGISLATIVE ELECTION,MONT-ORGANISE-CAPOTILLE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,OUANAMINTHE,AUGUST AND OCTOBER 2015,ELISMA FLORVIL,PHTK,"5,271",29.4,"12,398",55.1,,
LEGISLATIVE ELECTION,OUANAMINTHE,AUGUST AND OCTOBER 2015,Jean-Wisner FidÃ¨le,Bouclier,"3,770",21.1,"9,671",43.4,,
LEGISLATIVE ELECTION,OUANAMINTHE,AUGUST AND OCTOBER 2015,Wideline Pierre,APLA,"3,104",17.3,,,,
LEGISLATIVE ELECTION,OUANAMINTHE,AUGUST AND OCTOBER 2015,Joseph Saintilma,Verite,"2,138",11.9,,,,
LEGISLATIVE ELECTION,OUANAMINTHE,AUGUST AND OCTOBER 2015,Rony Pierre,Fusion,"1,557",8.7,,,,
LEGISLATIVE ELECTION,OUANAMINTHE,AUGUST AND OCTOBER 2015,Venel Montilus,KID,"1,072",6,,,,
LEGISLATIVE ELECTION,OUANAMINTHE,AUGUST AND OCTOBER 2015,6 others,,,,,,,
LEGISLATIVE ELECTION,OUANAMINTHE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,SAINTE-SUZANNE,AUGUST AND OCTOBER 2015,Pierrogene Davilmar,Inite Patr,"2,337",36.2,"3,925",48.7,,
LEGISLATIVE ELECTION,SAINTE-SUZANNE,AUGUST AND OCTOBER 2015,PHILIPPE PARVILUS,PHTK,"2,062",32,"4,128",51.2,,
LEGISLATIVE ELECTION,SAINTE-SUZANNE,AUGUST AND OCTOBER 2015,Samson Marseille,Verite,907,14.1,,,,
LEGISLATIVE ELECTION,SAINTE-SUZANNE,AUGUST AND OCTOBER 2015,Ferdinand Cheristin,OPL,547,8.5,,,,
LEGISLATIVE ELECTION,SAINTE-SUZANNE,AUGUST AND OCTOBER 2015,Ermicile Jn Pierre,KP,414,6.4,,,,
LEGISLATIVE ELECTION,SAINTE-SUZANNE,AUGUST AND OCTOBER 2015,2 Others,,,,,,,
LEGISLATIVE ELECTION,SAINTE-SUZANNE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,TERRIER-ROUGE,AUGUST AND OCTOBER 2015,Rodeley Pierre,MOPOD,"1,030",17.4,"3,759",46.5,,
LEGISLATIVE ELECTION,TERRIER-ROUGE,AUGUST AND OCTOBER 2015,JOVENEL LOUIS,MONHA,852,14.4,"4,305",53.3,,
LEGISLATIVE ELECTION,TERRIER-ROUGE,AUGUST AND OCTOBER 2015,Harry Jean FranÃ§ois,Bouclier,804,13.5,,,,
LEGISLATIVE ELECTION,TERRIER-ROUGE,AUGUST AND OCTOBER 2015,Alix Felix,Pont,722,12.2,,,,
LEGISLATIVE ELECTION,TERRIER-ROUGE,AUGUST AND OCTOBER 2015,Hermane Nelson,Pont,693,11.7,,,,
LEGISLATIVE ELECTION,TERRIER-ROUGE,AUGUST AND OCTOBER 2015,Enos Pierre,PPFF,646,10.9,,,,
LEGISLATIVE ELECTION,TERRIER-ROUGE,AUGUST AND OCTOBER 2015,Charlot Charles,Consortium,516,8.7,,,,
LEGISLATIVE ELECTION,TERRIER-ROUGE,AUGUST AND OCTOBER 2015,4 others,,,,,,,
